rider_id,age,ratings,restaurant_lat,restaurant_long,delivery_lat,delivery_long,weather,traffic,vehicle_condition,order_type,vehicle_type,multiple_deliveries,festival,city_type,time,city_name,distance_km,day,month,day_of_week,is_weekend,pickup_time,order_time_hour,time_of_day
INDORES13DEL02 ,37.0,4.9,22.745049,75.892471,22.765049,75.912471,sunny,high,1,snack,motorcycle,0.0,no,urban,24.0,INDO,3.03,19,3,Saturday,1,15.0,11.0,morning
BANGRES18DEL02 ,34.0,4.5,12.913041,77.683237,13.043041,77.813237,stormy,jam,1,snack,scooter,1.0,no,metropolitian,33.0,BANG,20.18,25,3,Friday,0,5.0,19.0,evening
BANGRES19DEL01 ,23.0,4.4,12.914264,77.6784,12.924264,77.6884,sandstorms,low,3,drinks,motorcycle,1.0,no,urban,26.0,BANG,1.55,19,3,Saturday,1,15.0,8.0,morning
COIMBRES13DEL02 ,38.0,4.7,11.003669,76.976494,11.053669,77.026494,sunny,medium,3,buffet,motorcycle,1.0,no,metropolitian,21.0,COIMB,7.79,4,5,Wednesday,0,10.0,18.0,evening
CHENRES12DEL01 ,32.0,4.6,12.972793,80.249982,13.012793,80.289982,cloudy,high,2,snack,scooter,1.0,no,metropolitian,30.0,CHEN,6.21,26,3,Saturday,1,15.0,13.0,afternoon
HYDRES09DEL03 ,22.0,4.8,17.431668,78.408321,17.461668,78.438321,cloudy,jam,3,buffet,motorcycle,1.0,no,urban,26.0,HYD,4.61,3,11,Thursday,0,10.0,21.0,evening
RANCHIRES15DEL01 ,33.0,4.7,23.369746,85.33982,23.479746,85.44982,fog,jam,2,meal,scooter,1.0,no,metropolitian,40.0,RANCHI,16.6,3,4,Sunday,1,15.0,19.0,evening
MYSRES15DEL02 ,35.0,4.6,12.352058,76.60665,12.482058,76.73665,cloudy,medium,1,meal,motorcycle,1.0,no,metropolitian,32.0,MYS,20.21,14,3,Monday,0,5.0,17.0,afternoon
HYDRES05DEL02 ,22.0,4.8,17.433809,78.386744,17.563809,78.516744,stormy,jam,3,buffet,motorcycle,1.0,no,metropolitian,34.0,HYD,19.98,20,3,Sunday,1,10.0,20.0,evening
DEHRES17DEL01 ,36.0,4.2,30.327968,78.046106,30.397968,78.116106,fog,jam,1,snack,motorcycle,3.0,no,metropolitian,46.0,DEH,10.28,2,12,Friday,0,15.0,21.0,evening
KOCRES16DEL01 ,21.0,4.7,10.003064,76.307589,10.043064,76.347589,stormy,high,2,meal,motorcycle,1.0,no,metropolitian,23.0,KOC,6.24,13,2,Sunday,1,10.0,14.0,afternoon
PUNERES13DEL03 ,23.0,4.7,18.56245,73.916619,18.65245,74.006619,sandstorms,medium,2,drinks,scooter,1.0,no,metropolitian,21.0,PUNE,13.79,3,4,Sunday,1,10.0,17.0,afternoon
LUDHRES15DEL02 ,34.0,4.3,30.899584,75.809346,30.919584,75.829346,sandstorms,low,3,buffet,motorcycle,0.0,no,metropolitian,20.0,LUDH,2.93,13,2,Sunday,1,10.0,9.0,morning
KNPRES14DEL02 ,24.0,4.7,26.463504,80.372929,26.593504,80.502929,fog,jam,2,snack,scooter,1.0,no,metropolitian,41.0,KNP,19.4,14,2,Monday,0,15.0,19.0,evening
MUMRES15DEL03 ,29.0,4.5,19.176269,72.836721,19.266269,72.926721,sandstorms,jam,1,buffet,electric_scooter,1.0,no,metropolitian,20.0,MUM,13.76,4,2,Friday,0,10.0,20.0,evening
MYSRES01DEL01 ,35.0,4.0,12.311072,76.654878,12.351072,76.694878,windy,high,2,meal,scooter,1.0,no,metropolitian,33.0,MYS,6.22,3,1,Monday,0,15.0,14.0,afternoon
PUNERES20DEL01 ,33.0,4.2,18.592718,73.773572,18.702718,73.883572,sandstorms,jam,1,snack,motorcycle,1.0,no,metropolitian,40.0,PUNE,16.85,16,3,Wednesday,0,10.0,20.0,evening
HYDRES14DEL01 ,34.0,4.9,17.426228,78.407495,17.496228,78.477495,cloudy,jam,3,snack,motorcycle,,no,metropolitian,41.0,HYD,10.76,20,3,Sunday,1,10.0,20.0,evening
KOLRES15DEL03 ,21.0,4.7,22.552672,88.352885,22.582672,88.382885,windy,jam,3,meal,motorcycle,1.0,no,urban,15.0,KOL,4.54,15,2,Tuesday,0,15.0,21.0,evening
PUNERES19DEL02 ,25.0,4.1,18.563934,73.915367,18.643935,73.995367,sandstorms,jam,3,snack,motorcycle,2.0,no,metropolitian,36.0,PUNE,12.26,16,3,Wednesday,0,5.0,20.0,evening
RANCHIRES06DEL02 ,31.0,4.7,23.357804,85.325146,23.487804,85.455146,sandstorms,low,1,meal,electric_scooter,0.0,no,metropolitian,26.0,RANCHI,19.62,3,10,Monday,0,15.0,22.0,night
COIMBRES13DEL01 ,37.0,5.0,11.003669,76.976494,11.013669,76.986494,sandstorms,low,2,snack,motorcycle,1.0,no,metropolitian,20.0,COIMB,1.56,3,11,Thursday,0,15.0,8.0,morning
