iter	Passed	Remaining
0	14	8880
1	21	6485
2	27	5654
3	33	5207
4	40	4975
5	47	4798
6	54	4753
7	60	4628
8	68	4608
9	75	4563
10	82	4539
11	88	4494
12	95	4456
13	102	4405
14	108	4355
15	114	4320
16	121	4285
17	127	4251
18	133	4222
19	140	4203
20	148	4212
21	154	4196
22	161	4181
23	169	4193
24	175	4162
25	182	4145
26	188	4127
27	195	4119
28	202	4111
29	210	4132
30	219	4165
31	227	4167
32	234	4162
33	241	4144
34	247	4130
35	254	4111
36	260	4095
37	266	4068
38	272	4052
39	280	4047
40	287	4041
41	293	4028
42	300	4023
43	307	4011
44	316	4032
45	323	4019
46	330	4019
47	337	4012
48	343	3994
49	350	3976
50	357	3969
51	363	3956
52	369	3937
53	376	3934
54	384	3934
55	391	3928
56	397	3909
57	404	3903
58	412	3904
59	420	3907
60	426	3889
61	433	3884
62	438	3867
63	445	3857
64	453	3857
65	460	3853
66	467	3841
67	474	3838
68	481	3830
69	488	3821
70	499	3844
71	505	3836
72	516	3852
73	523	3849
74	531	3845
75	538	3841
76	546	3837
77	553	3831
78	561	3828
79	567	3819
80	575	3812
81	581	3798
82	587	3785
83	593	3774
84	599	3757
85	606	3750
86	612	3740
87	620	3739
88	627	3731
89	633	3719
90	641	3713
91	647	3699
92	653	3690
93	659	3677
94	666	3667
95	672	3654
96	678	3642
97	684	3631
98	690	3621
99	697	3610
100	703	3601
101	710	3595
102	718	3594
103	727	3594
104	732	3580
105	739	3571
106	746	3564
107	753	3557
108	759	3548
109	766	3540
110	773	3531
111	789	3564
112	796	3558
113	804	3558
114	813	3560
115	821	3556
116	836	3582
117	846	3585
118	853	3580
119	860	3571
120	869	3570
121	878	3573
122	883	3556
123	890	3546
124	896	3536
125	902	3525
126	908	3513
127	916	3508
128	923	3500
129	930	3491
130	936	3483
131	942	3469
132	948	3457
133	953	3445
134	959	3433
135	965	3420
136	970	3407
137	975	3392
138	981	3382
139	987	3371
140	992	3358
141	998	3347
142	1005	3338
143	1010	3325
144	1015	3313
145	1021	3301
146	1027	3290
147	1033	3281
148	1040	3274
149	1045	3262
150	1051	3250
151	1056	3239
152	1063	3233
153	1069	3223
154	1078	3220
155	1083	3210
156	1091	3205
157	1097	3195
158	1104	3188
159	1109	3176
160	1115	3166
161	1121	3155
162	1127	3147
163	1133	3137
164	1139	3128
165	1146	3121
166	1152	3113
167	1159	3105
168	1167	3101
169	1173	3092
170	1179	3083
171	1185	3074
172	1192	3067
173	1198	3058
174	1205	3051
175	1211	3042
176	1218	3034
177	1225	3028
178	1230	3018
179	1236	3008
180	1242	2998
